project_id	characteristics[strain/breed]	comment[data file]	fasta	exclude	exclude_reason	labelling
PXD019288	Not available	191213_45c_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_45c_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_45c_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_GSH_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_GSH_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuII_GSH_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuI_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuI_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_CuI_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_30c_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_30c_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_30c_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_Ag_1.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_Ag_2.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD019288	Not available	191213_control_Ag_3.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR2_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR2_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016074	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run4.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210311_07_Orbi2_SK_SER_G180_T210_K2rmas_3-83-1_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_15_Orbi2_KN_SER_G180_T210_K2rmas_3-83-2_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_07_Orbi2_KN_SER_G180_T210_K2rmas_3-83-3_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_15_Orbi2_KN_SER_G180_T210_K2rmas_1-83-1_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_03_Orbi2_KN_SER_G180_T210_K2rmas_1-83-2_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_07_Orbi2_KN_SER_G180_T210_K2rmas_1-83-3_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_03_Orbi2_KN_SER_G180_T210_K2rmas_4-83-1_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_11_Orbi2_KN_SER_G180_T210_K2rmas_4-83-2_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210311_03_Orbi2_SK_SER_G180_T210_K2rmas_4-83-3_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-3_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_17_Orbi2_KN_SER_G180_T210_K2rmas_3-84-4_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-6_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
