source name	characteristics[organism]	characteristics[growth condition]	characteristics[growth stage]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R1.raw	Escherichia coli	Glucose	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 1	1	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R2.raw	Escherichia coli	Glucose	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 2	1	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R3.raw	Escherichia coli	Glucose	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 2	1	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R1.raw	Escherichia coli	Glycerol	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 3	1	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R2.raw	Escherichia coli	Glycerol	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 4	1	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R3.raw	Escherichia coli	Glycerol	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 5	1	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R1.raw	Escherichia coli	Glucose	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 6	1	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R2.raw	Escherichia coli	Glucose	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 7	1	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R3.raw	Escherichia coli	Glucose	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 8	1	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R1.raw	Escherichia coli	Glycerol	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	Proteomic profiling by mass spectrometry	run 9	1	OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	TCEP	CAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
