source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[time]	characteristics[enrichment process]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
20170419_OR13_MH_W3110_control_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		1			Proteomic profiling by mass spectrometry	run 22	1	20170419_OR13_MH_W3110_control_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170419_OR13_MH_W3110_control_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		2			Proteomic profiling by mass spectrometry	run 23	1	20170419_OR13_MH_W3110_control_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170419_OR13_MH_W3110_control_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		3			Proteomic profiling by mass spectrometry	run 24	1	20170419_OR13_MH_W3110_control_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170419_OR13_MH_W3110_D3_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	1	3 day		Proteomic profiling by mass spectrometry	run 19	1	20170419_OR13_MH_W3110_D3_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170419_OR13_MH_W3110_D3_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	2	3 day		Proteomic profiling by mass spectrometry	run 20	1	20170419_OR13_MH_W3110_D3_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170419_OR13_MH_W3110_D3_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	3	3 day		Proteomic profiling by mass spectrometry	run 21	1	20170419_OR13_MH_W3110_D3_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_D7_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	1	7 day		Proteomic profiling by mass spectrometry	run 25	1	20170420_OR13_MH_W3110_D7_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_D7_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	2	7 day		Proteomic profiling by mass spectrometry	run 26	1	20170420_OR13_MH_W3110_D7_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_D7_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	3	7 day		Proteomic profiling by mass spectrometry	run 27	1	20170420_OR13_MH_W3110_D7_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	1	4 day		Proteomic profiling by mass spectrometry	run 28	1	20170420_OR13_MH_W3110_Day4_colistin_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	2	4 day		Proteomic profiling by mass spectrometry	run 29	1	20170420_OR13_MH_W3110_Day4_colistin_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	3	4 day		Proteomic profiling by mass spectrometry	run 30	1	20170420_OR13_MH_W3110_Day4_colistin_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_blk_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		1	4 day		Proteomic profiling by mass spectrometry	run 31	1	20170420_OR13_MH_W3110_Day4_colistin_blk_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_blk_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		2	4 day		Proteomic profiling by mass spectrometry	run 32	1	20170420_OR13_MH_W3110_Day4_colistin_blk_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170420_OR13_MH_W3110_Day4_colistin_blk_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		3	4 day		Proteomic profiling by mass spectrometry	run 33	1	20170420_OR13_MH_W3110_Day4_colistin_blk_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170422_OR13_MH_MCR1_Day4_blk_1.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		1	4 day		Proteomic profiling by mass spectrometry	run 34	1	20170422_OR13_MH_MCR1_Day4_blk_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
