source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 1	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw
Sample 2	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 2	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw
Sample 3	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 3	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw
Sample 4	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 4	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw
Sample 5	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 5	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw
Sample 6	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 6	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw
Sample 7	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 7	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw
Sample 8	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 8	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw
Sample 9	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 9	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw
Sample 10	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 10	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw
