source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 1	Proteomic profiling by mass spectrometry	1	QEx2_020296.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020296.raw
Sample 2	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 2	Proteomic profiling by mass spectrometry	2	QEx2_020300.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020300.raw
Sample 3	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 3	Proteomic profiling by mass spectrometry	3	QEx2_020322.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020322.raw
Sample 4	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 4	Proteomic profiling by mass spectrometry	4	QEx2_020419.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020419.raw
Sample 5	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 5	Proteomic profiling by mass spectrometry	5	QEx2_020427.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020427.raw
Sample 6	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 6	Proteomic profiling by mass spectrometry	6	QEx2_020448.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020448.raw
Sample 7	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 7	Proteomic profiling by mass spectrometry	7	QEx2_020460.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020460.raw
Sample 8	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 8	Proteomic profiling by mass spectrometry	8	QEx2_020461.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020461.raw
Sample 9	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 9	Proteomic profiling by mass spectrometry	9	QEx2_020481.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020481.raw
Sample 10	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Run 10	Proteomic profiling by mass spectrometry	10	QEx2_020482.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.025 Da	10 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	"NT=HCD; AC=MS:1002481"	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020482.raw
