source name		characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
HFX1_FPEP19H000623-4A.raw	FY26_EV_Raw_file-X101SC19080976_Z01_F001_B1_43.zip	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST95"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 1	1	HFX1_FPEP19H000623-4A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000623-5A.raw	FY26_EV_Raw_file-X101SC19080976_Z01_F001_B1_43.zip	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST95"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 1	1	HFX1_FPEP19H000623-5A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000623-6A.raw	FY26_EV_Raw_file-X101SC19080976_Z01_F001_B1_43.zip	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST95"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 1	1	HFX1_FPEP19H000623-6A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000625-4A.raw	CFT073_EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O6:K2; ST73"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 2	1	HFX1_FPEP19H000625-4A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000625-5A.raw	CFT073_EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O6:K2; ST73"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 2	1	HFX1_FPEP19H000625-5A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000625-6A.raw	CFT073_EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O6:K2; ST73"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 2	1	HFX1_FPEP19H000625-6A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000624-4A.raw	CBE78 EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST117"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 3	1	HFX1_FPEP19H000624-4A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000624-5A.raw	CBE78 EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST117"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 3	1	HFX1_FPEP19H000624-5A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HFX1_FPEP19H000624-6A.raw	CBE78 EV_Raw_file-X101SC19080976_Z01_F001_B1_43	Escherichia coli	Extracellular Vesicles	"Escherichia coli str. O2:K1; ST117"	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	Proteomic profiling by mass spectrometry	run 3	1	HFX1_FPEP19H000624-6A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
HF3_FFRA200000351-1A.raw	FY26 Raw_file.raw	Escherichia coli	Cell lysate	"Escherichia coli str. O2:K1; ST95"	Not applicable	Prokaryotic cell	Not applicable	1	Not applicable	Proteomic profiling by mass spectrometry	run 4	1	HF3_FFRA200000351-1A.raw	1	Label free sample	NT=Q Exactive HF-X	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available			"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		
