source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	factor value[treatment]
TMT_Fraction1_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction1_Repeat1.raw	"NT=HCD; AC=MS:1002481"		1	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction2_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction2_Repeat1.raw	"NT=HCD; AC=MS:1002481"		2	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction3_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction3_Repeat1.raw	"NT=HCD; AC=MS:1002481"		3	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction4_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction4_Repeat1.raw	"NT=HCD; AC=MS:1002481"		4	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction5_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction5_Repeat1.raw	"NT=HCD; AC=MS:1002481"		5	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction6_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction6_Repeat1.raw	"NT=HCD; AC=MS:1002481"		6	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction7_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction7_Repeat1.raw	"NT=HCD; AC=MS:1002481"		7	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction8_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction8_Repeat1.raw	"NT=HCD; AC=MS:1002481"		8	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction9_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction9_Repeat1.raw	"NT=HCD; AC=MS:1002481"		9	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction10_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction10_Repeat1.raw	"NT=HCD; AC=MS:1002481"		10	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction11_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 11	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction11_Repeat1.raw	"NT=HCD; AC=MS:1002481"		11	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction12_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 12	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction12_Repeat1.raw	"NT=HCD; AC=MS:1002481"		12	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction13_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 13	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction13_Repeat1.raw	"NT=HCD; AC=MS:1002481"		13	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction14_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 14	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction14_Repeat1.raw	"NT=HCD; AC=MS:1002481"		14	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction15_Repeat1.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 15	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction15_Repeat1.raw	"NT=HCD; AC=MS:1002481"		15	Not available	NT=Q Exactive	TMT126	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction1_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction1_Repeat1.raw	"NT=HCD; AC=MS:1002481"		1	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction2_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction2_Repeat1.raw	"NT=HCD; AC=MS:1002481"		2	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction3_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction3_Repeat1.raw	"NT=HCD; AC=MS:1002481"		3	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction4_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction4_Repeat1.raw	"NT=HCD; AC=MS:1002481"		4	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction5_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction5_Repeat1.raw	"NT=HCD; AC=MS:1002481"		5	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction6_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction6_Repeat1.raw	"NT=HCD; AC=MS:1002481"		6	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction7_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction7_Repeat1.raw	"NT=HCD; AC=MS:1002481"		7	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction8_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction8_Repeat1.raw	"NT=HCD; AC=MS:1002481"		8	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
TMT_Fraction9_Repeat1.raw	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12	Spaceflight	Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	TMT_Fraction9_Repeat1.raw	"NT=HCD; AC=MS:1002481"		9	Not available	NT=Q Exactive	TMT127	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']"	Not available	DTT	1	lesSDRF v0.1.0	Spaceflight
