source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[pathotype]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[file uri]	Factor value[treatment]
Control 1	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	1	Run 1	Proteomic profiling by mass spectrometry	1	P20200701485_CONTROL_1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_1.raw	Control
Control 2	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	2	Run 2	Proteomic profiling by mass spectrometry	1	P20200701485_CONTROL_2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_2.raw	Control
Control 3	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	3	Run 3	Proteomic profiling by mass spectrometry	1	P20200701485_CONTROL_3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_3.raw	Control
Treat 1	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	1	Run 4	Proteomic profiling by mass spectrometry	1	P20200701485_TREAT_1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_1.raw	Resveratrol
Treat 2	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	2	Run 5	Proteomic profiling by mass spectrometry	1	P20200701485_TREAT_2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_2.raw	Resveratrol
Treat 3	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	3	Run 6	Proteomic profiling by mass spectrometry	1	P20200701485_TREAT_3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	20 ppm	6 ppm	DTT	IAA	"NT=HCD; AC=MS:1002481"	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_3.raw	Resveratrol
Control 1 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	1	Run 7	PRM Validation	1	P20201002962_PRM_control-1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-1.raw	Control
Control 2 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	2	Run 8	PRM Validation	1	P20201002962_PRM_control-2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-2.raw	Control
Control 3 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	3	Run 9	PRM Validation	1	P20201002962_PRM_control-3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-3.raw	Control
Treat 1 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	1	Run 10	PRM Validation	1	P20201002962_PRM_treat-1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_treat-1.raw	Resveratrol
Treat 2 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	2	Run 11	PRM Validation	1	P20201002962_PRM_treat-2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_treat-2.raw	Resveratrol
Treat 3 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	3	Run 12	PRM Validation	1	P20201002962_PRM_treat-3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	Not available	Not available	Not available	Not available	"NT=HCD; AC=MS:1002481"	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_treat-3.raw	Resveratrol
