source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
sample 1	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 1	Not available	QX1_20_0635.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0635.raw
sample 2	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 2	Not available	QX1_20_0637.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0637.raw
sample 3	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 3	Not available	QX1_20_0641.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0641.raw
sample 4	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 4	Not available	QX1_20_0643.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0643.raw
sample 5	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 5	Not available	QX1_20_0647.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0647.raw
sample 6	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 6	Not available	QX1_20_0651.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0651.raw
sample 7	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 7	Not available	QX1_20_0722.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0722.raw
sample 8	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 8	Not available	QX1_20_0724.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0724.raw
sample 9	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 9	Not available	QX1_20_0726.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0726.raw
sample 10	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 10	Not available	QX1_20_0728.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0728.raw
