source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	characteristics[enrichment protocol]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[compensation voltage]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]
20210626_LCC_DHY_La_FS-40.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-40V	20210626_LCC_DHY_La_FS-40.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	1	lesSDRF v0.1.0
20210626_LCC_DHY_La_FS-60.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-60V	20210626_LCC_DHY_La_FS-60.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	2	lesSDRF v0.1.0
20210626_LCC_DHY_La_FS-80.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-80V	20210626_LCC_DHY_La_FS-80.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	3	lesSDRF v0.1.0
20210626_LCC_DHY_La_P_FS-40.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-40V	20210626_LCC_DHY_La_P_FS-40.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	1	lesSDRF v0.1.0
20210626_LCC_DHY_La_P_FS-60.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-60V	20210626_LCC_DHY_La_P_FS-60.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	2	lesSDRF v0.1.0
20210626_LCC_DHY_La_P_FS-80.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-80V	20210626_LCC_DHY_La_P_FS-80.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	3	lesSDRF v0.1.0
20210626_LCC_DHY_La_FS-40.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	cobB knockout	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-40V	20210626_LCC_DHY_La_FS-40.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	1	lesSDRF v0.1.0
20210626_LCC_DHY_La_FS-60.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	cobB knockout	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-60V	20210626_LCC_DHY_La_FS-60.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	2	lesSDRF v0.1.0
20210626_LCC_DHY_La_FS-80.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	cobB knockout	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-80V	20210626_LCC_DHY_La_FS-80.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	3	lesSDRF v0.1.0
20210626_LCC_DHY_La_P_FS-40.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	cobB knockout	Lactyllysine immunoaffinity enrichment	Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	30 %	-40V	20210626_LCC_DHY_La_P_FS-40.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']"	10 ppm	DTT	1	lesSDRF v0.1.0
