source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
Control_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		1	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT126	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
Control_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		2	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT127	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
Control_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		3	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT128	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
MtrCBA_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	1	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT129	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
MtrCBA_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	2	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT130	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
MtrCBA_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	3	Proteomic profiling by mass spectrometry	run 1	1	S9026TQ_01.raw	1	High-pH reversed-phase chromatography (hpHRP)	TMT131	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
Control_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		1	Proteomic profiling by mass spectrometry	run 2	1	S9026TQ_02.raw	2	High-pH reversed-phase chromatography (hpHRP)	TMT126	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
Control_2	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		2	Proteomic profiling by mass spectrometry	run 2	1	S9026TQ_02.raw	2	High-pH reversed-phase chromatography (hpHRP)	TMT127	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
Control_3	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell		3	Proteomic profiling by mass spectrometry	run 2	1	S9026TQ_02.raw	2	High-pH reversed-phase chromatography (hpHRP)	TMT128	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
MtrCBA_1	Escherichia coli	Cell lysate	E. coli BA102	Not applicable	Prokaryotic cell	recombinant plasmid (pBBR1MCS-5-mtrCAB and pCWJ-ccmA-H)	1	Proteomic profiling by mass spectrometry	run 2	1	S9026TQ_02.raw	2	High-pH reversed-phase chromatography (hpHRP)	TMT129	Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.02 Da	5 ppm	DTT	IAA	NT=Carbamidomethylation; AC=UNIMOD:4;TA=C	NT=HCD; AC=MS:1002481	28 %	
