source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
WZG-Ecoli-iTRAQ-1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 1	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']
"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 2	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 3	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-4.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 4	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-5.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 5	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-6.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 6	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-7.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 7	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-8.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 8	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-9.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 9	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
WZG-Ecoli-iTRAQ-10.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 10	Not available		Not available	iTRAQ8plex	Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']"	"NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']"	"NT=HCD; AC=MS:1002481"	Not available	
