source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]
HFX4_FFRA20H101796-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101796-1A.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101797-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101797-1A.raw	"NT=HCD; AC=MS:1002481"		2	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101798-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101798-1A.raw	"NT=HCD; AC=MS:1002481"		3	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101799-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101799-1A.raw	"NT=HCD; AC=MS:1002481"		4	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101800-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101800-1A.raw	"NT=HCD; AC=MS:1002481"		5	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101801-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101801-1A.raw	"NT=HCD; AC=MS:1002481"		6	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101802-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101802-1A.raw	"NT=HCD; AC=MS:1002481"		7	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101803-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101803-1A.raw	"NT=HCD; AC=MS:1002481"		8	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101804-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101804-1A.raw	"NT=HCD; AC=MS:1002481"		9	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101805-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101805-1A.raw	"NT=HCD; AC=MS:1002481"		10	0.02 Da	NT=Q Exactive HF-X	TMT127C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101796-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101796-1A.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101797-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101797-1A.raw	"NT=HCD; AC=MS:1002481"		2	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101798-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101798-1A.raw	"NT=HCD; AC=MS:1002481"		3	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101799-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101799-1A.raw	"NT=HCD; AC=MS:1002481"		4	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101800-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101800-1A.raw	"NT=HCD; AC=MS:1002481"		5	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101801-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101801-1A.raw	"NT=HCD; AC=MS:1002481"		6	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101802-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101802-1A.raw	"NT=HCD; AC=MS:1002481"		7	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101803-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101803-1A.raw	"NT=HCD; AC=MS:1002481"		8	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101804-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101804-1A.raw	"NT=HCD; AC=MS:1002481"		9	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101805-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101805-1A.raw	"NT=HCD; AC=MS:1002481"		10	0.02 Da	NT=Q Exactive HF-X	TMT127N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101796-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101796-1A.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101797-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101797-1A.raw	"NT=HCD; AC=MS:1002481"		2	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101798-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101798-1A.raw	"NT=HCD; AC=MS:1002481"		3	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101799-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101799-1A.raw	"NT=HCD; AC=MS:1002481"		4	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101800-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101800-1A.raw	"NT=HCD; AC=MS:1002481"		5	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101801-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101801-1A.raw	"NT=HCD; AC=MS:1002481"		6	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101802-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101802-1A.raw	"NT=HCD; AC=MS:1002481"		7	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101803-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101803-1A.raw	"NT=HCD; AC=MS:1002481"		8	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101804-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101804-1A.raw	"NT=HCD; AC=MS:1002481"		9	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101805-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101805-1A.raw	"NT=HCD; AC=MS:1002481"		10	0.02 Da	NT=Q Exactive HF-X	TMT128C	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
HFX4_FFRA20H101796-1A.raw	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. W3110		Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	32 %	HFX4_FFRA20H101796-1A.raw	"NT=HCD; AC=MS:1002481"		1	0.02 Da	NT=Q Exactive HF-X	TMT128N	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	DTT	1	lesSDRF v0.1.0
