source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	characteristics[time]	characteristics[growth condition]	characteristics[enrichment process]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	factor value[time]	factor value[growth condition]
Ecoli_UC_LB_H008_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		8 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 18	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_060.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_060.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H008_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		8 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 16	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_055.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_055.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H008_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		8 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_029.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_029.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H054_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		54 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_036.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_036.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H054_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		54 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 14	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_051.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_051.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H054_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		54 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_046.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_046.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H168_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		168 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_025.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_025.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_LB_H168_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		168 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_018.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_018.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_LB_H168_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		168 hour	LB	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 15	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_053.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_053.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_RPMI_H008_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380		8 hour	RPMI	Membrane Vesicles by Ultracentrifugation	Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	26 %	BBM_669_P257_03_B_FRH_033.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_033.raw	1		NT=Q Exactive HF-X	Label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"		DTT	1	lesSDRF v0.1.0	8 hour	RPMI
