source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]
Bulk	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	1	Proteomic profiling by mass spectrometry	run 0	1	20221215_HF2_01_Ecoli_bulk22127_FToP_TM6.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	34 %	Not applicable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221215_HF2_01_Ecoli_bulk22127_FToP_TM6.raw
Run1_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	2	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	3	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	4	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	5	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	6	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	7	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	8	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run1_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	9	Proteomic profiling by mass spectrometry	run 1	1	20221220_Ec_01_RZ_SBP_Exp1.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp1.raw
Run2_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	10	Proteomic profiling by mass spectrometry	run 2	1	20221220_Ec_01_RZ_SBP_Exp2.raw	1	Label free sample	Orbitrap Eclipse Tribrid	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp2.raw
