,source name,characteristics[organism],characteristics[organism part],characteristics[culture type],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[modification parameters].2,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[culture type],pride_id,filename,characteristics[treatment],comment[fragment mass tolerance],comment[precursor mass tolerance],Factor value[treatment],characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].3,Factor value[growth stage],characteristics[isolate],Factor value[isolate],characteristics[plasmid],Factor value[plasmid],characteristics[growth condition],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],comment[fractionation method],Factor value[organism part],characteristics[enrichment process],Factor value[enrichment process]
0,Exponential 1,Escherichia coli,Cell lysate,Exponential culture,Not available,Not applicable,Prokaryotic cell,1,Run 1,Proteomic profiling by mass spectrometry,1,"a0,5t.raw",1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,"https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/a0,5t.raw",Exponential culture,PXD013610,"a0,5t.raw",,,,,,,,,,,,,,,,,,,,
1,Stationary 1,Escherichia coli,Cell lysate,Stationary culture,Not available,Not applicable,Prokaryotic cell,1,Run 2,Proteomic profiling by mass spectrometry,1,ayt_161207182650.raw,1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/ayt_161207182650.raw,Stationary culture,PXD013610,ayt_161207182650.raw,,,,,,,,,,,,,,,,,,,,
2,Exponential 2,Escherichia coli,Cell lysate,Exponential culture,Not available,Not applicable,Prokaryotic cell,2,Run 3,Proteomic profiling by mass spectrometry,1,"b0,5t.raw",1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,"https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/b0,5t.raw",Exponential culture,PXD013610,"b0,5t.raw",,,,,,,,,,,,,,,,,,,,
3,Stationary 2,Escherichia coli,Cell lysate,Stationary culture,Not available,Not applicable,Prokaryotic cell,2,Run 4,Proteomic profiling by mass spectrometry,1,byt_161207194536.raw,1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/byt_161207194536.raw,Stationary culture,PXD013610,byt_161207194536.raw,,,,,,,,,,,,,,,,,,,,
4,Exponential 3,Escherichia coli,Cell lysate,Exponential culture,Not available,Not applicable,Prokaryotic cell,3,Run 5,Proteomic profiling by mass spectrometry,1,"c0,5t.raw",1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,"https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/c0,5t.raw",Exponential culture,PXD013610,"c0,5t.raw",,,,,,,,,,,,,,,,,,,,
5,Stationary 3,Escherichia coli,Cell lysate,Stationary culture,Not available,Not applicable,Prokaryotic cell,3,Run 6,Proteomic profiling by mass spectrometry,1,cyt.raw,1,Label free sample,NT=Orbitrap Fusion,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),TCEP,MMTS,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=Acetyl; MT=Variable; PP=Protein N-term,NT=HCD; AC=MS:1002481,30% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013610/cyt.raw,Stationary culture,PXD013610,cyt.raw,,,,,,,,,,,,,,,,,,,,
0,45c_1,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 1,Proteomic profiling by mass spectrometry,1,191213_45c_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_1.raw,,PXD019288,191213_45c_1.raw,45c,20 ppm,4.5 ppm,45c,,,,,,,,,,,,,,,,
1,45c_2,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 2,Proteomic profiling by mass spectrometry,1,191213_45c_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_2.raw,,PXD019288,191213_45c_2.raw,45c,20 ppm,4.5 ppm,45c,,,,,,,,,,,,,,,,
2,45c_3,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 3,Proteomic profiling by mass spectrometry,1,191213_45c_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_3.raw,,PXD019288,191213_45c_3.raw,45c,20 ppm,4.5 ppm,45c,,,,,,,,,,,,,,,,
3,CuII_1,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 4,Proteomic profiling by mass spectrometry,1,191213_CuII_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_1.raw,,PXD019288,191213_CuII_1.raw,CuII,20 ppm,4.5 ppm,CuII,,,,,,,,,,,,,,,,
